j,t,M 0-3,M 4-8,M 9-13,M 14-18,M 19-30,M 31-50,M 51+,F 0-3,F 4-8,F 9-13,F 14-18,F 19-30,F 31-50,F 51+
1040101204022,2011,0,0,0,1,1,0,1,0,0,0,1,0,0,1
1040101204041,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1040101204045,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1040101204063,2011,0,0,0,0,1,0,0,0,0,0,0,1,1,0
1040101204081,2011,0,2,1,0,1,0,1,0,0,0,1,0,1,0
1040101204099,2011,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1040101204118,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1040101204136,2011,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1040101204154,2011,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1040101204172,2011,0,1,0,0,1,0,1,0,0,1,1,0,1,0
1040300109011,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1040300109023,2011,0,0,1,0,4,0,1,0,0,1,1,0,1,0
1040300109035,2011,0,0,0,0,0,0,0,0,0,1,0,0,0,1
1040300109047,2011,0,0,0,0,0,0,1,0,1,1,1,0,1,0
1040300109059,2011,0,0,0,2,1,0,0,0,0,0,0,1,0,1
1040300109071,2011,0,0,0,1,0,0,0,0,1,0,0,0,1,1
1040300109083,2011,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1040300109095,2011,0,0,1,1,0,0,0,0,1,0,0,0,1,0
1040300109107,2011,0,0,1,0,0,0,0,0,0,1,2,2,1,1
1040300109119,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1040300109131,2011,0,1,0,0,1,0,0,0,0,0,0,1,0,0
1040300109143,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1040300404002,2011,0,0,0,1,1,0,0,0,0,1,1,0,1,0
1040300404014,2011,0,0,1,1,0,1,0,0,1,0,1,1,1,0
1040300404027,2011,0,0,0,0,1,0,1,0,0,0,0,1,0,1
1040300404040,2011,0,0,1,0,1,0,1,0,0,0,2,1,1,0
1040300404053,2011,0,1,1,0,0,0,1,0,0,1,0,0,1,0
1040300404065,2011,0,0,1,0,1,0,1,0,0,0,1,0,0,1
1040300404074,2011,0,1,0,0,1,0,0,0,0,0,0,0,0,1
1040300404079,2011,0,0,0,1,0,1,0,0,0,0,0,1,0,0
1040300404093,2011,0,0,0,1,0,0,0,0,0,1,0,0,1,0
1040300404106,2011,0,0,1,0,0,1,0,0,1,1,0,1,0,0
1040300404118,2011,0,0,0,0,0,1,0,0,1,2,1,0,1,0
1040300404143,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1040400103001,2011,0,1,1,0,0,1,0,0,0,1,0,1,0,0
1040400103011,2011,0,1,0,0,0,0,0,0,1,0,0,1,0,0
1040400103016,2011,0,0,1,0,0,1,0,0,1,1,0,0,1,0
1040400103031,2011,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1040400103046,2011,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1040400103047,2011,0,1,1,1,0,0,1,0,0,0,1,0,1,0
1040400103062,2011,0,0,0,0,0,1,0,0,1,1,1,1,0,0
1040400103077,2011,0,0,0,0,0,0,1,0,0,0,0,0,0,1
1040400103092,2011,0,1,1,1,0,0,0,0,0,0,0,0,1,0
1040400103107,2011,0,1,0,0,0,0,0,0,0,1,0,0,1,0
1040400103122,2011,0,0,0,0,0,0,0,0,0,2,0,0,1,0
1040400103137,2011,0,0,0,0,0,0,0,0,0,1,0,0,1,0
1040500701004,2011,0,0,0,0,0,1,0,0,1,1,0,1,1,0
1040500701025,2011,0,0,1,0,0,1,0,0,1,0,0,1,0,0
1040500701046,2011,0,0,0,0,0,1,0,0,1,1,0,2,0,0
1040500701062,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040500701070,2011,0,1,1,0,0,1,0,0,0,1,0,0,1,0
1040500701092,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040500701114,2011,0,1,1,1,0,0,1,0,0,0,1,0,1,0
1040500701135,2011,0,0,1,1,1,0,1,0,0,0,1,1,1,0
1040500701141,2011,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1040500701158,2011,0,1,1,0,0,1,0,0,0,0,0,1,0,0
1040500701179,2011,0,0,0,0,0,1,0,0,0,1,1,0,1,0
1040500701200,2011,0,0,0,0,0,1,0,0,1,1,0,0,1,0
1040600803003,2011,0,0,0,0,2,0,1,0,0,2,1,0,1,0
1040600803020,2011,0,0,0,0,0,1,0,0,1,0,0,1,0,0
1040600803033,2011,0,1,1,0,0,1,0,0,1,0,1,0,1,1
1040600803055,2011,0,0,0,0,2,1,0,0,0,0,0,1,0,0
1040600803060,2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0
